Operation,File Size (MB),Latency (seconds)
Upload,1,1.2024848461151123
Upload,10,1.0493319034576416
Upload,50,2.5583512783050537
Upload,100,3.8498597145080566
Upload,500,17.58929967880249
Upload,1000,35.958423376083374
Download,1,0.20075440406799316
Download,10,0.5225198268890381
Download,50,2.087351083755493
Download,100,4.620192527770996
Download,500,22.88954472541809
Download,1000,41.93432569503784
